Value,Category
#24c6ff has 50 warming points and 700 minimum,Low Temperature (cold) 700
#23c6ff has 48 warming points and 700 minimum,Low Temperature (cold) 700
#22c5ff has 46 warming points and 700 minimum,Low Temperature (cold) 700
#20c4ff has 44 warming points and 700 minimum,Low Temperature (cold) 700
#1ac0ff has 36 warming points and 700 minimum,Low Temperature (cold) 700
#14bcff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#13bcff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#66ff8b has 142 warming points and 700 minimum,Low Temperature (cold) 700
#2872ff has 56 warming points and 700 minimum,Low Temperature (cold) 700
#0bfaff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#0effea has 18 warming points and 700 minimum,Low Temperature (cold) 700
#12ff37 has 24 warming points and 700 minimum,Low Temperature (cold) 700
#d2daff has 294 warming points and 700 minimum,Low Temperature (cold) 700
#ff0334 has 1326 warming points and 700 minimum,Hight Temperature (warm) 700
#db1a00 has 1204 warming points and 700 minimum,Hight Temperature (warm) 700
#afffda has 244 warming points and 700 minimum,Low Temperature (cold) 700
#1dc4ff has 38 warming points and 700 minimum,Low Temperature (cold) 700
#1fc4ff has 42 warming points and 700 minimum,Low Temperature (cold) 700
#19bfff has 34 warming points and 700 minimum,Low Temperature (cold) 700
#00acfe has 0 warming points and 700 minimum,Low Temperature (cold) 700
#08b4ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#26c7ff has 52 warming points and 700 minimum,Low Temperature (cold) 700
#11ff36 has 22 warming points and 700 minimum,Low Temperature (cold) 700
#d2e9ff has 294 warming points and 700 minimum,Low Temperature (cold) 700
#d1d8ff has 290 warming points and 700 minimum,Low Temperature (cold) 700
#f20021 has 1258 warming points and 700 minimum,Hight Temperature (warm) 700
#0dbeff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#27c8ff has 52 warming points and 700 minimum,Low Temperature (cold) 700
#0cc5ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#1b2908 has 148 warming points and 700 minimum,Low Temperature (cold) 700
#19ff3d has 34 warming points and 700 minimum,Low Temperature (cold) 700
#0cffff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#2f1000 has 258 warming points and 700 minimum,Low Temperature (cold) 700
#3e2300 has 341 warming points and 700 minimum,Low Temperature (cold) 700
#472d00 has 390 warming points and 700 minimum,Low Temperature (cold) 700
#4a3000 has 407 warming points and 700 minimum,Low Temperature (cold) 700
#17ff3e has 30 warming points and 700 minimum,Low Temperature (cold) 700
#12ff39 has 24 warming points and 700 minimum,Low Temperature (cold) 700
#17ff3d has 30 warming points and 700 minimum,Low Temperature (cold) 700
#0ffdff has 20 warming points and 700 minimum,Low Temperature (cold) 700
#00e7e6 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#00e7e1 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0afbff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#1aff3f has 36 warming points and 700 minimum,Low Temperature (cold) 700
#19ff3f has 34 warming points and 700 minimum,Low Temperature (cold) 700
#0afdff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#0dc3ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#12ffeb has 24 warming points and 700 minimum,Low Temperature (cold) 700
#1ec2ff has 42 warming points and 700 minimum,Low Temperature (cold) 700
#0afeff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#1cff43 has 38 warming points and 700 minimum,Low Temperature (cold) 700
#05b2ff has 6 warming points and 700 minimum,Low Temperature (cold) 700
#11fffa has 22 warming points and 700 minimum,Low Temperature (cold) 700
#00ddda has 0 warming points and 700 minimum,Low Temperature (cold) 700
#630e80 has 514 warming points and 700 minimum,Low Temperature (cold) 700
#009ef2 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#22001f has 176 warming points and 700 minimum,Low Temperature (cold) 700
#0affff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#4e0e80 has 405 warming points and 700 minimum,Low Temperature (cold) 700
#442a00 has 374 warming points and 700 minimum,Low Temperature (cold) 700
#452b00 has 379 warming points and 700 minimum,Low Temperature (cold) 700
#2e0f00 has 253 warming points and 700 minimum,Low Temperature (cold) 700
#009aef has 0 warming points and 700 minimum,Low Temperature (cold) 700
#1e0026 has 156 warming points and 700 minimum,Low Temperature (cold) 700
#0dfbff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#2770ff has 52 warming points and 700 minimum,Low Temperature (cold) 700
#0091e8 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#210028 has 171 warming points and 700 minimum,Low Temperature (cold) 700
#0afffd has 14 warming points and 700 minimum,Low Temperature (cold) 700
#3b2000 has 324 warming points and 700 minimum,Low Temperature (cold) 700
#008be3 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#10ff37 has 22 warming points and 700 minimum,Low Temperature (cold) 700
#0b218d has 14 warming points and 700 minimum,Low Temperature (cold) 700
#7e0d80 has 655 warming points and 700 minimum,Low Temperature (cold) 700
#1bfff5 has 36 warming points and 700 minimum,Low Temperature (cold) 700
#351900 has 291 warming points and 700 minimum,Low Temperature (cold) 700
#3c2100 has 330 warming points and 700 minimum,Low Temperature (cold) 700
#1cff42 has 38 warming points and 700 minimum,Low Temperature (cold) 700
#15ff3c has 28 warming points and 700 minimum,Low Temperature (cold) 700
#21c5ff has 44 warming points and 700 minimum,Low Temperature (cold) 700
#2c0c00 has 242 warming points and 700 minimum,Low Temperature (cold) 700
#08fdff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#15fffd has 28 warming points and 700 minimum,Low Temperature (cold) 700
#2f002d has 244 warming points and 700 minimum,Low Temperature (cold) 700
#0069c9 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0fb9ff has 20 warming points and 700 minimum,Low Temperature (cold) 700
#11ffff has 22 warming points and 700 minimum,Low Temperature (cold) 700
#391e00 has 313 warming points and 700 minimum,Low Temperature (cold) 700
#412600 has 357 warming points and 700 minimum,Low Temperature (cold) 700
#300e80 has 249 warming points and 700 minimum,Low Temperature (cold) 700
#432900 has 368 warming points and 700 minimum,Low Temperature (cold) 700
#22001d has 176 warming points and 700 minimum,Low Temperature (cold) 700
#260300 has 209 warming points and 700 minimum,Low Temperature (cold) 700
#0cfbff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#19ff40 has 34 warming points and 700 minimum,Low Temperature (cold) 700
#15bdff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#266fff has 52 warming points and 700 minimum,Low Temperature (cold) 700
#0af9ff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#00aa9f has 0 warming points and 700 minimum,Low Temperature (cold) 700
#1bff41 has 36 warming points and 700 minimum,Low Temperature (cold) 700
#1f64ff has 42 warming points and 700 minimum,Low Temperature (cold) 700
#00fcef has 0 warming points and 700 minimum,Low Temperature (cold) 700
#092692 has 10 warming points and 700 minimum,Low Temperature (cold) 700
#65ff8a has 140 warming points and 700 minimum,Low Temperature (cold) 700
#15ff3b has 28 warming points and 700 minimum,Low Temperature (cold) 700
#1fc3ff has 42 warming points and 700 minimum,Low Temperature (cold) 700
#000c16 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#040017 has 20 warming points and 700 minimum,Low Temperature (cold) 700
#00a297 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0dff34 has 16 warming points and 700 minimum,Low Temperature (cold) 700
#1bc1ff has 36 warming points and 700 minimum,Low Temperature (cold) 700
#014ab3 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#301100 has 264 warming points and 700 minimum,Low Temperature (cold) 700
#4d3400 has 423 warming points and 700 minimum,Low Temperature (cold) 700
#006fce has 0 warming points and 700 minimum,Low Temperature (cold) 700
#17fffb has 30 warming points and 700 minimum,Low Temperature (cold) 700
#00fff1 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#503700 has 440 warming points and 700 minimum,Low Temperature (cold) 700
#140015 has 104 warming points and 700 minimum,Low Temperature (cold) 700
#1e0e80 has 156 warming points and 700 minimum,Low Temperature (cold) 700
#170017 has 119 warming points and 700 minimum,Low Temperature (cold) 700
#0efcff has 18 warming points and 700 minimum,Low Temperature (cold) 700
#0ab6ff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#08fffc has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09fbff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#160016 has 114 warming points and 700 minimum,Low Temperature (cold) 700
#1fc5ff has 42 warming points and 700 minimum,Low Temperature (cold) 700
#1e0010 has 156 warming points and 700 minimum,Low Temperature (cold) 700
#14ff3b has 28 warming points and 700 minimum,Low Temperature (cold) 700
#0bff32 has 14 warming points and 700 minimum,Low Temperature (cold) 700
#03b0ff has 2 warming points and 700 minimum,Low Temperature (cold) 700
#02ffff has 2 warming points and 700 minimum,Low Temperature (cold) 700
#810a80 has 670 warming points and 700 minimum,Low Temperature (cold) 700
#007c8e has 0 warming points and 700 minimum,Low Temperature (cold) 700
#007e8e has 0 warming points and 700 minimum,Low Temperature (cold) 700
#1bfff7 has 36 warming points and 700 minimum,Low Temperature (cold) 700
#110e80 has 88 warming points and 700 minimum,Low Temperature (cold) 700
#1e63ff has 42 warming points and 700 minimum,Low Temperature (cold) 700
#11beff has 22 warming points and 700 minimum,Low Temperature (cold) 700
#14ff3a has 28 warming points and 700 minimum,Low Temperature (cold) 700
#20001d has 166 warming points and 700 minimum,Low Temperature (cold) 700
#0af6ff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#14bfff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#08f3ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#57ff80 has 120 warming points and 700 minimum,Low Temperature (cold) 700
#17ff65 has 30 warming points and 700 minimum,Low Temperature (cold) 700
#17ff8f has 30 warming points and 700 minimum,Low Temperature (cold) 700
#17ffd2 has 30 warming points and 700 minimum,Low Temperature (cold) 700
#2a0900 has 231 warming points and 700 minimum,Low Temperature (cold) 700
#005cc0 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#2168ff has 44 warming points and 700 minimum,Low Temperature (cold) 700
#17ff5b has 30 warming points and 700 minimum,Low Temperature (cold) 700
#17ff95 has 30 warming points and 700 minimum,Low Temperature (cold) 700
#11baff has 22 warming points and 700 minimum,Low Temperature (cold) 700
#7a0e80 has 634 warming points and 700 minimum,Low Temperature (cold) 700
#05fffb has 6 warming points and 700 minimum,Low Temperature (cold) 700
#05fffc has 6 warming points and 700 minimum,Low Temperature (cold) 700
#07f9ff has 8 warming points and 700 minimum,Low Temperature (cold) 700
#0dffff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#17fff3 has 30 warming points and 700 minimum,Low Temperature (cold) 700
#dbc100 has 1204 warming points and 700 minimum,Hight Temperature (warm) 700
#17ff70 has 30 warming points and 700 minimum,Low Temperature (cold) 700
#19fff3 has 34 warming points and 700 minimum,Low Temperature (cold) 700
#08ffff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#0cd0ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#01fffc has 0 warming points and 700 minimum,Low Temperature (cold) 700
#00f2e5 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#00676d has 0 warming points and 700 minimum,Low Temperature (cold) 700
#008690 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0086df has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0eff35 has 18 warming points and 700 minimum,Low Temperature (cold) 700
#00eff2 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#00636e has 0 warming points and 700 minimum,Low Temperature (cold) 700
#1cc1ff has 38 warming points and 700 minimum,Low Temperature (cold) 700
#2067ff has 44 warming points and 700 minimum,Low Temperature (cold) 700
#6c0e80 has 561 warming points and 700 minimum,Low Temperature (cold) 700
#00aafc has 0 warming points and 700 minimum,Low Temperature (cold) 700
#26c8ff has 52 warming points and 700 minimum,Low Temperature (cold) 700
#0efffe has 18 warming points and 700 minimum,Low Temperature (cold) 700
#000127 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#dbca00 has 1204 warming points and 700 minimum,Hight Temperature (warm) 700
#968700 has 825 warming points and 700 minimum,Hight Temperature (warm) 700
#5c4e00 has 506 warming points and 700 minimum,Low Temperature (cold) 700
#4c3e00 has 418 warming points and 700 minimum,Low Temperature (cold) 700
#322300 has 275 warming points and 700 minimum,Low Temperature (cold) 700
#615300 has 533 warming points and 700 minimum,Low Temperature (cold) 700
#d5c500 has 1171 warming points and 700 minimum,Hight Temperature (warm) 700
#570e80 has 452 warming points and 700 minimum,Low Temperature (cold) 700
#009093 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#12ff16 has 24 warming points and 700 minimum,Low Temperature (cold) 700
#17ff12 has 126 warming points and 700 minimum,Low Temperature (cold) 700
#ffee06 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#fdeb00 has 1391 warming points and 700 minimum,Hight Temperature (warm) 700
#cab900 has 1111 warming points and 700 minimum,Hight Temperature (warm) 700
#d3c300 has 1160 warming points and 700 minimum,Hight Temperature (warm) 700
#928300 has 803 warming points and 700 minimum,Hight Temperature (warm) 700
#0bfcff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#24c7ff has 50 warming points and 700 minimum,Low Temperature (cold) 700
#1eff19 has 165 warming points and 700 minimum,Low Temperature (cold) 700
#19ff14 has 137 warming points and 700 minimum,Low Temperature (cold) 700
#d5ff0d has 1171 warming points and 700 minimum,Hight Temperature (warm) 700
#0cf9ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#67ff65 has 566 warming points and 700 minimum,Low Temperature (cold) 700
#69006e has 546 warming points and 700 minimum,Low Temperature (cold) 700
#ffe206 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#14001e has 104 warming points and 700 minimum,Low Temperature (cold) 700
#0db8ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#2771ff has 52 warming points and 700 minimum,Low Temperature (cold) 700
#1367ff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#1761ff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#bdffbd has 1076 warming points and 700 minimum,Hight Temperature (warm) 700
#ff4007 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#ff4306 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#da1900 has 1199 warming points and 700 minimum,Hight Temperature (warm) 700
#afffd8 has 244 warming points and 700 minimum,Low Temperature (cold) 700
#0fff33 has 20 warming points and 700 minimum,Low Temperature (cold) 700
#2a1900 has 231 warming points and 700 minimum,Low Temperature (cold) 700
#291700 has 225 warming points and 700 minimum,Low Temperature (cold) 700
#180021 has 124 warming points and 700 minimum,Low Temperature (cold) 700
#08fff9 has 10 warming points and 700 minimum,Low Temperature (cold) 700
#1555ff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#1862ff has 32 warming points and 700 minimum,Low Temperature (cold) 700
#bdffce has 262 warming points and 700 minimum,Low Temperature (cold) 700
#f62b00 has 1353 warming points and 700 minimum,Hight Temperature (warm) 700
#db0f00 has 1204 warming points and 700 minimum,Hight Temperature (warm) 700
#b0ffdc has 246 warming points and 700 minimum,Low Temperature (cold) 700
