Value,Category
#463a00 has 385 warming points and 700 minimum,Low Temperature (cold) 700
#01fff9 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#ddc500 has 1215 warming points and 700 minimum,Hight Temperature (warm) 700
#dec600 has 1221 warming points and 700 minimum,Hight Temperature (warm) 700
#ffe809 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#ffe906 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#15ff10 has 115 warming points and 700 minimum,Low Temperature (cold) 700
#2b0b00 has 236 warming points and 700 minimum,Low Temperature (cold) 700
#07fffc has 8 warming points and 700 minimum,Low Temperature (cold) 700
#08b9ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#de1b00 has 1221 warming points and 700 minimum,Hight Temperature (warm) 700
#534800 has 456 warming points and 700 minimum,Low Temperature (cold) 700
#fff109 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#fff309 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#22ff1e has 187 warming points and 700 minimum,Low Temperature (cold) 700
#002535 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#13c0ff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#18ff3c has 32 warming points and 700 minimum,Low Temperature (cold) 700
#ff430a has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#ff4209 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#1765ff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#b3ffdf has 248 warming points and 700 minimum,Low Temperature (cold) 700
#655600 has 555 warming points and 700 minimum,Low Temperature (cold) 700
#523d00 has 451 warming points and 700 minimum,Low Temperature (cold) 700
#341800 has 286 warming points and 700 minimum,Low Temperature (cold) 700
#001522 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0dc0ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#002ce0 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#97009d has 785 warming points and 700 minimum,Hight Temperature (warm) 700
#9d00a3 has 816 warming points and 700 minimum,Hight Temperature (warm) 700
#df1100 has 1226 warming points and 700 minimum,Hight Temperature (warm) 700
#dd1600 has 1215 warming points and 700 minimum,Hight Temperature (warm) 700
#f82c00 has 1364 warming points and 700 minimum,Hight Temperature (warm) 700
#ff4108 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#c0ffba has 1056 warming points and 700 minimum,Hight Temperature (warm) 700
#bdffe9 has 262 warming points and 700 minimum,Low Temperature (cold) 700
#acffd9 has 240 warming points and 700 minimum,Low Temperature (cold) 700
#e01b00 has 1232 warming points and 700 minimum,Hight Temperature (warm) 700
#6b5d00 has 588 warming points and 700 minimum,Low Temperature (cold) 700
#001022 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0cdfff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#0a54ff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#78007e has 624 warming points and 700 minimum,Low Temperature (cold) 700
#dc0f00 has 1210 warming points and 700 minimum,Hight Temperature (warm) 700
#301300 has 264 warming points and 700 minimum,Low Temperature (cold) 700
#19fff9 has 34 warming points and 700 minimum,Low Temperature (cold) 700
#c100c7 has 1003 warming points and 700 minimum,Hight Temperature (warm) 700
#e51d00 has 1259 warming points and 700 minimum,Hight Temperature (warm) 700
#09c7ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#1660ff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#311400 has 269 warming points and 700 minimum,Low Temperature (cold) 700
#2eff55 has 64 warming points and 700 minimum,Low Temperature (cold) 700
#462c00 has 385 warming points and 700 minimum,Low Temperature (cold) 700
#8a7400 has 759 warming points and 700 minimum,Hight Temperature (warm) 700
#b49e00 has 990 warming points and 700 minimum,Hight Temperature (warm) 700
#c000c7 has 998 warming points and 700 minimum,Hight Temperature (warm) 700
#00d7db has 0 warming points and 700 minimum,Low Temperature (cold) 700
#2973ff has 56 warming points and 700 minimum,Low Temperature (cold) 700
#2a74ff has 58 warming points and 700 minimum,Low Temperature (cold) 700
#115bff has 22 warming points and 700 minimum,Low Temperature (cold) 700
#c1aa00 has 1061 warming points and 700 minimum,Hight Temperature (warm) 700
#fb2500 has 1380 warming points and 700 minimum,Hight Temperature (warm) 700
#8a008f has 717 warming points and 700 minimum,Hight Temperature (warm) 700
#b3ffde has 248 warming points and 700 minimum,Low Temperature (cold) 700
#00d5db has 0 warming points and 700 minimum,Low Temperature (cold) 700
#18bfff has 32 warming points and 700 minimum,Low Temperature (cold) 700
#135fff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#145eff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#b6ffe2 has 254 warming points and 700 minimum,Low Temperature (cold) 700
#12ff38 has 24 warming points and 700 minimum,Low Temperature (cold) 700
#00a2b3 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#00c4b8 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0244ad has 2 warming points and 700 minimum,Low Temperature (cold) 700
#900094 has 748 warming points and 700 minimum,Hight Temperature (warm) 700
#957e00 has 819 warming points and 700 minimum,Hight Temperature (warm) 700
#b09900 has 968 warming points and 700 minimum,Hight Temperature (warm) 700
#786200 has 660 warming points and 700 minimum,Low Temperature (cold) 700
#b7ffe4 has 254 warming points and 700 minimum,Low Temperature (cold) 700
#0e57ff has 18 warming points and 700 minimum,Low Temperature (cold) 700
#0a53ff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#740079 has 603 warming points and 700 minimum,Low Temperature (cold) 700
#79007f has 629 warming points and 700 minimum,Low Temperature (cold) 700
#1467ff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#1366ff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#2276ff has 46 warming points and 700 minimum,Low Temperature (cold) 700
#2074ff has 44 warming points and 700 minimum,Low Temperature (cold) 700
#07f5ff has 8 warming points and 700 minimum,Low Temperature (cold) 700
#2c76ff has 60 warming points and 700 minimum,Low Temperature (cold) 700
#176bff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#8c0090 has 728 warming points and 700 minimum,Hight Temperature (warm) 700
#9f00a4 has 826 warming points and 700 minimum,Hight Temperature (warm) 700
#443800 has 374 warming points and 700 minimum,Low Temperature (cold) 700
#3c3000 has 330 warming points and 700 minimum,Low Temperature (cold) 700
#2f1f00 has 258 warming points and 700 minimum,Low Temperature (cold) 700
#5b4300 has 500 warming points and 700 minimum,Low Temperature (cold) 700
#7b6500 has 676 warming points and 700 minimum,Low Temperature (cold) 700
#115aff has 22 warming points and 700 minimum,Low Temperature (cold) 700
#6d0072 has 566 warming points and 700 minimum,Low Temperature (cold) 700
#135cff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#135eff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#186cff has 32 warming points and 700 minimum,Low Temperature (cold) 700
#07f4ff has 8 warming points and 700 minimum,Low Temperature (cold) 700
#1b5eff has 36 warming points and 700 minimum,Low Temperature (cold) 700
#2b75ff has 58 warming points and 700 minimum,Low Temperature (cold) 700
#0d57ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#830087 has 681 warming points and 700 minimum,Low Temperature (cold) 700
#ff2903 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#620066 has 509 warming points and 700 minimum,Low Temperature (cold) 700
#80047d has 665 warming points and 700 minimum,Low Temperature (cold) 700
#dd1200 has 1215 warming points and 700 minimum,Hight Temperature (warm) 700
#b1ffdd has 246 warming points and 700 minimum,Low Temperature (cold) 700
#246eff has 50 warming points and 700 minimum,Low Temperature (cold) 700
#ab00b1 has 889 warming points and 700 minimum,Hight Temperature (warm) 700
#e11e00 has 1237 warming points and 700 minimum,Hight Temperature (warm) 700
#02f8ff has 2 warming points and 700 minimum,Low Temperature (cold) 700
#bcffe8 has 262 warming points and 700 minimum,Low Temperature (cold) 700
#226aff has 46 warming points and 700 minimum,Low Temperature (cold) 700
#1b67ff has 36 warming points and 700 minimum,Low Temperature (cold) 700
#9e00a3 has 821 warming points and 700 minimum,Hight Temperature (warm) 700
#df1c00 has 1226 warming points and 700 minimum,Hight Temperature (warm) 700
#e51f00 has 1259 warming points and 700 minimum,Hight Temperature (warm) 700
#240005 has 187 warming points and 700 minimum,Low Temperature (cold) 700
#5bff84 has 126 warming points and 700 minimum,Low Temperature (cold) 700
#1763ff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#16c0ff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#61005f has 504 warming points and 700 minimum,Low Temperature (cold) 700
#9c00a2 has 811 warming points and 700 minimum,Hight Temperature (warm) 700
#6d5700 has 599 warming points and 700 minimum,Low Temperature (cold) 700
#c900d3 has 1045 warming points and 700 minimum,Hight Temperature (warm) 700
#c500cf has 1024 warming points and 700 minimum,Hight Temperature (warm) 700
#c100c9 has 1003 warming points and 700 minimum,Hight Temperature (warm) 700
#9b00a1 has 806 warming points and 700 minimum,Hight Temperature (warm) 700
#004efe has 0 warming points and 700 minimum,Low Temperature (cold) 700
#1666ff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#99009f has 795 warming points and 700 minimum,Hight Temperature (warm) 700
#e41300 has 1254 warming points and 700 minimum,Hight Temperature (warm) 700
#413300 has 357 warming points and 700 minimum,Low Temperature (cold) 700
#392a00 has 313 warming points and 700 minimum,Low Temperature (cold) 700
#3d2200 has 335 warming points and 700 minimum,Low Temperature (cold) 700
#c900d4 has 1045 warming points and 700 minimum,Hight Temperature (warm) 700
#04bcff has 4 warming points and 700 minimum,Low Temperature (cold) 700
#246cff has 50 warming points and 700 minimum,Low Temperature (cold) 700
#1569ff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#433500 has 368 warming points and 700 minimum,Low Temperature (cold) 700
#eb2000 has 1292 warming points and 700 minimum,Hight Temperature (warm) 700
#c700d1 has 1034 warming points and 700 minimum,Hight Temperature (warm) 700
#09b9ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#82037c has 676 warming points and 700 minimum,Low Temperature (cold) 700
#e71e00 has 1270 warming points and 700 minimum,Hight Temperature (warm) 700
#ec2000 has 1298 warming points and 700 minimum,Hight Temperature (warm) 700
#eb2100 has 1292 warming points and 700 minimum,Hight Temperature (warm) 700
#e72000 has 1270 warming points and 700 minimum,Hight Temperature (warm) 700
#07fff9 has 8 warming points and 700 minimum,Low Temperature (cold) 700
#1c0e80 has 145 warming points and 700 minimum,Low Temperature (cold) 700
#381d00 has 308 warming points and 700 minimum,Low Temperature (cold) 700
#4f0051 has 410 warming points and 700 minimum,Low Temperature (cold) 700
#16beff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#06359f has 8 warming points and 700 minimum,Low Temperature (cold) 700
#10ffea has 22 warming points and 700 minimum,Low Temperature (cold) 700
#12fff3 has 24 warming points and 700 minimum,Low Temperature (cold) 700
#dd1b00 has 1215 warming points and 700 minimum,Hight Temperature (warm) 700
#89008d has 712 warming points and 700 minimum,Hight Temperature (warm) 700
#98009d has 790 warming points and 700 minimum,Hight Temperature (warm) 700
#88008d has 707 warming points and 700 minimum,Hight Temperature (warm) 700
#196bff has 34 warming points and 700 minimum,Low Temperature (cold) 700
#2d76ff has 62 warming points and 700 minimum,Low Temperature (cold) 700
#206cff has 44 warming points and 700 minimum,Low Temperature (cold) 700
#1a68ff has 36 warming points and 700 minimum,Low Temperature (cold) 700
#920099 has 759 warming points and 700 minimum,Hight Temperature (warm) 700
#43006e has 348 warming points and 700 minimum,Low Temperature (cold) 700
#2c0b00 has 242 warming points and 700 minimum,Low Temperature (cold) 700
#8b008f has 722 warming points and 700 minimum,Hight Temperature (warm) 700
#166aff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#1468ff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#1769ff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#75007b has 608 warming points and 700 minimum,Low Temperature (cold) 700
#442b00 has 374 warming points and 700 minimum,Low Temperature (cold) 700
#6e0073 has 572 warming points and 700 minimum,Low Temperature (cold) 700
#8f0095 has 743 warming points and 700 minimum,Hight Temperature (warm) 700
#7f00e5 has 660 warming points and 700 minimum,Low Temperature (cold) 700
#3c2200 has 330 warming points and 700 minimum,Low Temperature (cold) 700
#462d00 has 385 warming points and 700 minimum,Low Temperature (cold) 700
#da1300 has 1199 warming points and 700 minimum,Hight Temperature (warm) 700
#b500bc has 941 warming points and 700 minimum,Hight Temperature (warm) 700
#ba00c2 has 967 warming points and 700 minimum,Hight Temperature (warm) 700
#700075 has 582 warming points and 700 minimum,Low Temperature (cold) 700
#007dda has 0 warming points and 700 minimum,Low Temperature (cold) 700
#b4ffe0 has 252 warming points and 700 minimum,Low Temperature (cold) 700
#87008d has 702 warming points and 700 minimum,Hight Temperature (warm) 700
#6b0070 has 556 warming points and 700 minimum,Low Temperature (cold) 700
#09b5ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#b0ffdb has 246 warming points and 700 minimum,Low Temperature (cold) 700
#095cff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#07feff has 8 warming points and 700 minimum,Low Temperature (cold) 700
#4f3600 has 434 warming points and 700 minimum,Low Temperature (cold) 700
#a1ec00 has 885 warming points and 700 minimum,Hight Temperature (warm) 700
#07fcff has 8 warming points and 700 minimum,Low Temperature (cold) 700
#533a00 has 456 warming points and 700 minimum,Low Temperature (cold) 700
#1250ff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#543b00 has 462 warming points and 700 minimum,Low Temperature (cold) 700
#07ff1e has 8 warming points and 700 minimum,Low Temperature (cold) 700
#00fbee has 0 warming points and 700 minimum,Low Temperature (cold) 700
#04fff2 has 4 warming points and 700 minimum,Low Temperature (cold) 700
#05fff2 has 6 warming points and 700 minimum,Low Temperature (cold) 700
#0a2591 has 14 warming points and 700 minimum,Low Temperature (cold) 700
#720077 has 592 warming points and 700 minimum,Low Temperature (cold) 700
#93009a has 764 warming points and 700 minimum,Hight Temperature (warm) 700
#be00c6 has 988 warming points and 700 minimum,Hight Temperature (warm) 700
#008b80 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#95009b has 774 warming points and 700 minimum,Hight Temperature (warm) 700
#89008f has 712 warming points and 700 minimum,Hight Temperature (warm) 700
#0b1e8a has 14 warming points and 700 minimum,Low Temperature (cold) 700
#3d470b has 335 warming points and 700 minimum,Low Temperature (cold) 700
#f11400 has 1325 warming points and 700 minimum,Hight Temperature (warm) 700
#9e0024 has 821 warming points and 700 minimum,Hight Temperature (warm) 700
#900013 has 748 warming points and 700 minimum,Hight Temperature (warm) 700
#8f0012 has 743 warming points and 700 minimum,Hight Temperature (warm) 700
#8579ff has 691 warming points and 700 minimum,Low Temperature (cold) 700
#797eff has 168 warming points and 700 minimum,Low Temperature (cold) 700
#bd0047 has 982 warming points and 700 minimum,Hight Temperature (warm) 700
#c70052 has 1034 warming points and 700 minimum,Hight Temperature (warm) 700
#7e82ff has 176 warming points and 700 minimum,Low Temperature (cold) 700
#3cec00 has 330 warming points and 700 minimum,Low Temperature (cold) 700
#dbec00 has 1204 warming points and 700 minimum,Hight Temperature (warm) 700
#4c277f has 395 warming points and 700 minimum,Low Temperature (cold) 700
#243489 has 50 warming points and 700 minimum,Low Temperature (cold) 700
#16bfff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#0d96e5 has 16 warming points and 700 minimum,Low Temperature (cold) 700
#04b0ff has 4 warming points and 700 minimum,Low Temperature (cold) 700
#26caff has 52 warming points and 700 minimum,Low Temperature (cold) 700
#573e00 has 478 warming points and 700 minimum,Low Temperature (cold) 700
#5a4100 has 495 warming points and 700 minimum,Low Temperature (cold) 700
#01aeff has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0eb8ff has 18 warming points and 700 minimum,Low Temperature (cold) 700
#685000 has 572 warming points and 700 minimum,Low Temperature (cold) 700
#920096 has 759 warming points and 700 minimum,Hight Temperature (warm) 700
#836b00 has 720 warming points and 700 minimum,Hight Temperature (warm) 700
#007bd6 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#1d61ff has 38 warming points and 700 minimum,Low Temperature (cold) 700
#917800 has 797 warming points and 700 minimum,Hight Temperature (warm) 700
#082c97 has 10 warming points and 700 minimum,Low Temperature (cold) 700
#da1500 has 1199 warming points and 700 minimum,Hight Temperature (warm) 700
#7200e5 has 592 warming points and 700 minimum,Low Temperature (cold) 700
#910098 has 754 warming points and 700 minimum,Hight Temperature (warm) 700
#900096 has 748 warming points and 700 minimum,Hight Temperature (warm) 700
#dc1000 has 1210 warming points and 700 minimum,Hight Temperature (warm) 700
#150019 has 109 warming points and 700 minimum,Low Temperature (cold) 700
#ff4e0b has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#b3ffb3 has 1019 warming points and 700 minimum,Hight Temperature (warm) 700
#ffe355 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#ff6a26 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#db1800 has 1204 warming points and 700 minimum,Hight Temperature (warm) 700
#09c2ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#7ec3ff has 176 warming points and 700 minimum,Low Temperature (cold) 700
#9b8300 has 852 warming points and 700 minimum,Hight Temperature (warm) 700
#16ff38 has 30 warming points and 700 minimum,Low Temperature (cold) 700
#bbffbb has 1065 warming points and 700 minimum,Hight Temperature (warm) 700
#70ff6c has 616 warming points and 700 minimum,Low Temperature (cold) 700
#9d8400 has 863 warming points and 700 minimum,Hight Temperature (warm) 700
#05fffe has 6 warming points and 700 minimum,Low Temperature (cold) 700
#f92e00 has 1369 warming points and 700 minimum,Hight Temperature (warm) 700
#fcfeff has 352 warming points and 700 minimum,Low Temperature (cold) 700
#f8fffb has 346 warming points and 700 minimum,Low Temperature (cold) 700
#91ff8d has 797 warming points and 700 minimum,Hight Temperature (warm) 700
#8dffda has 196 warming points and 700 minimum,Low Temperature (cold) 700
#8f6546 has 786 warming points and 700 minimum,Hight Temperature (warm) 700
#a38a00 has 896 warming points and 700 minimum,Hight Temperature (warm) 700
#ff4906 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#ffffff has 1453 warming points and 700 minimum,Hight Temperature (warm) 700
#a78e00 has 918 warming points and 700 minimum,Hight Temperature (warm) 700
#2d117a has 234 warming points and 700 minimum,Low Temperature (cold) 700
#700074 has 582 warming points and 700 minimum,Low Temperature (cold) 700
#7f0083 has 660 warming points and 700 minimum,Low Temperature (cold) 700
#910094 has 754 warming points and 700 minimum,Hight Temperature (warm) 700
#9e00a0 has 821 warming points and 700 minimum,Hight Temperature (warm) 700
#a400a4 has 852 warming points and 700 minimum,Hight Temperature (warm) 700
#a300a3 has 847 warming points and 700 minimum,Hight Temperature (warm) 700
#9c009c has 811 warming points and 700 minimum,Hight Temperature (warm) 700
#9a009a has 800 warming points and 700 minimum,Hight Temperature (warm) 700
#8e0091 has 738 warming points and 700 minimum,Hight Temperature (warm) 700
#79007e has 629 warming points and 700 minimum,Low Temperature (cold) 700
#6a006f has 551 warming points and 700 minimum,Low Temperature (cold) 700
#fff1ec has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#30cfff has 66 warming points and 700 minimum,Low Temperature (cold) 700
#950098 has 774 warming points and 700 minimum,Hight Temperature (warm) 700
#a100a2 has 837 warming points and 700 minimum,Hight Temperature (warm) 700
#9e009e has 821 warming points and 700 minimum,Hight Temperature (warm) 700
#9a0099 has 800 warming points and 700 minimum,Hight Temperature (warm) 700
#870089 has 702 warming points and 700 minimum,Hight Temperature (warm) 700
#8dff96 has 196 warming points and 700 minimum,Low Temperature (cold) 700
#380069 has 291 warming points and 700 minimum,Low Temperature (cold) 700
#340079 has 270 warming points and 700 minimum,Low Temperature (cold) 700
#280078 has 208 warming points and 700 minimum,Low Temperature (cold) 700
#0a0061 has 52 warming points and 700 minimum,Low Temperature (cold) 700
#130068 has 98 warming points and 700 minimum,Low Temperature (cold) 700
#190069 has 130 warming points and 700 minimum,Low Temperature (cold) 700
#1f0065 has 161 warming points and 700 minimum,Low Temperature (cold) 700
#62008f has 509 warming points and 700 minimum,Low Temperature (cold) 700
#8d008c has 733 warming points and 700 minimum,Hight Temperature (warm) 700
#3c277f has 312 warming points and 700 minimum,Low Temperature (cold) 700
#6f0073 has 577 warming points and 700 minimum,Low Temperature (cold) 700
#76007a has 613 warming points and 700 minimum,Low Temperature (cold) 700
#7b007f has 639 warming points and 700 minimum,Low Temperature (cold) 700
#0d59ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#0e5cff has 18 warming points and 700 minimum,Low Temperature (cold) 700
#0d5bff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#0b59ff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#0a58ff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#0e5aff has 18 warming points and 700 minimum,Low Temperature (cold) 700
#730097 has 598 warming points and 700 minimum,Low Temperature (cold) 700
#8d0090 has 733 warming points and 700 minimum,Hight Temperature (warm) 700
#252f85 has 50 warming points and 700 minimum,Low Temperature (cold) 700
#32277f has 260 warming points and 700 minimum,Low Temperature (cold) 700
#41277f has 338 warming points and 700 minimum,Low Temperature (cold) 700
#7c007f has 644 warming points and 700 minimum,Low Temperature (cold) 700
#0f5dff has 20 warming points and 700 minimum,Low Temperature (cold) 700
#0c5aff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#500095 has 416 warming points and 700 minimum,Low Temperature (cold) 700
#a000a0 has 832 warming points and 700 minimum,Hight Temperature (warm) 700
#930096 has 764 warming points and 700 minimum,Hight Temperature (warm) 700
#fff147 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#27287f has 52 warming points and 700 minimum,Low Temperature (cold) 700
#3a277f has 301 warming points and 700 minimum,Low Temperature (cold) 700
#ffb87a has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#b4ffb0 has 990 warming points and 700 minimum,Hight Temperature (warm) 700
#71ff6c has 621 warming points and 700 minimum,Low Temperature (cold) 700
#b7ffff has 254 warming points and 700 minimum,Low Temperature (cold) 700
#baffba has 1060 warming points and 700 minimum,Hight Temperature (warm) 700
#8bffc9 has 192 warming points and 700 minimum,Low Temperature (cold) 700
#75c6ff has 162 warming points and 700 minimum,Low Temperature (cold) 700
#7dc2ff has 174 warming points and 700 minimum,Low Temperature (cold) 700
#3d85d3 has 84 warming points and 700 minimum,Low Temperature (cold) 700
#07309b has 8 warming points and 700 minimum,Low Temperature (cold) 700
#415eb4 has 90 warming points and 700 minimum,Low Temperature (cold) 700
#37b2fa has 76 warming points and 700 minimum,Low Temperature (cold) 700
#32afff has 70 warming points and 700 minimum,Low Temperature (cold) 700
#272a7f has 52 warming points and 700 minimum,Low Temperature (cold) 700
#46277f has 364 warming points and 700 minimum,Low Temperature (cold) 700
#ff4207 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#fdfffe has 352 warming points and 700 minimum,Low Temperature (cold) 700
#44bfff has 94 warming points and 700 minimum,Low Temperature (cold) 700
#36b0ff has 74 warming points and 700 minimum,Low Temperature (cold) 700
#262e83 has 52 warming points and 700 minimum,Low Temperature (cold) 700
#2ccdff has 60 warming points and 700 minimum,Low Temperature (cold) 700
#ffe706 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#2fcfff has 64 warming points and 700 minimum,Low Temperature (cold) 700
#2accff has 58 warming points and 700 minimum,Low Temperature (cold) 700
#223b8f has 46 warming points and 700 minimum,Low Temperature (cold) 700
#ffe652 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#22c7ff has 46 warming points and 700 minimum,Low Temperature (cold) 700
#1ac2ff has 36 warming points and 700 minimum,Low Temperature (cold) 700
#1477c7 has 28 warming points and 700 minimum,Low Temperature (cold) 700
#176abb has 30 warming points and 700 minimum,Low Temperature (cold) 700
#740078 has 603 warming points and 700 minimum,Low Temperature (cold) 700
#96009a has 780 warming points and 700 minimum,Hight Temperature (warm) 700
#ffa669 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#98009c has 790 warming points and 700 minimum,Hight Temperature (warm) 700
#b3fff8 has 248 warming points and 700 minimum,Low Temperature (cold) 700
#beffbc has 1045 warming points and 700 minimum,Hight Temperature (warm) 700
#8cffd6 has 196 warming points and 700 minimum,Low Temperature (cold) 700
#1991ff has 34 warming points and 700 minimum,Low Temperature (cold) 700
#1f28ae has 42 warming points and 700 minimum,Low Temperature (cold) 700
#239eff has 48 warming points and 700 minimum,Low Temperature (cold) 700
#29a3ff has 56 warming points and 700 minimum,Low Temperature (cold) 700
#1183d3 has 22 warming points and 700 minimum,Low Temperature (cold) 700
#1e4da0 has 42 warming points and 700 minimum,Low Temperature (cold) 700
#10baff has 22 warming points and 700 minimum,Low Temperature (cold) 700
#a300e5 has 847 warming points and 700 minimum,Hight Temperature (warm) 700
#33adff has 70 warming points and 700 minimum,Low Temperature (cold) 700
#34adff has 72 warming points and 700 minimum,Low Temperature (cold) 700
#7b6200 has 676 warming points and 700 minimum,Low Temperature (cold) 700
#00d6da has 0 warming points and 700 minimum,Low Temperature (cold) 700
#f3ff12 has 1336 warming points and 700 minimum,Hight Temperature (warm) 700
#45277f has 358 warming points and 700 minimum,Low Temperature (cold) 700
#4a277f has 384 warming points and 700 minimum,Low Temperature (cold) 700
#4b3200 has 412 warming points and 700 minimum,Low Temperature (cold) 700
#06feff has 8 warming points and 700 minimum,Low Temperature (cold) 700
#ffeff2 has 1326 warming points and 700 minimum,Hight Temperature (warm) 700
#a9aeff has 234 warming points and 700 minimum,Low Temperature (cold) 700
#11bcff has 22 warming points and 700 minimum,Low Temperature (cold) 700
#19c1ff has 34 warming points and 700 minimum,Low Temperature (cold) 700
#35277f has 275 warming points and 700 minimum,Low Temperature (cold) 700
#775e00 has 654 warming points and 700 minimum,Low Temperature (cold) 700
#2300e5 has 182 warming points and 700 minimum,Low Temperature (cold) 700
#06f8ff has 8 warming points and 700 minimum,Low Temperature (cold) 700
#8dffde has 196 warming points and 700 minimum,Low Temperature (cold) 700
#29cbff has 56 warming points and 700 minimum,Low Temperature (cold) 700
#daff0d has 1199 warming points and 700 minimum,Hight Temperature (warm) 700
#0c1b88 has 16 warming points and 700 minimum,Low Temperature (cold) 700
#1f0022 has 161 warming points and 700 minimum,Low Temperature (cold) 700
#92ff91 has 803 warming points and 700 minimum,Hight Temperature (warm) 700
#831700 has 720 warming points and 700 minimum,Hight Temperature (warm) 700
#90ff8f has 792 warming points and 700 minimum,Hight Temperature (warm) 700
#43277f has 348 warming points and 700 minimum,Low Temperature (cold) 700
#30277f has 249 warming points and 700 minimum,Low Temperature (cold) 700
#41ceff has 90 warming points and 700 minimum,Low Temperature (cold) 700
#56c5ff has 120 warming points and 700 minimum,Low Temperature (cold) 700
#5cc7ff has 128 warming points and 700 minimum,Low Temperature (cold) 700
#fefeff has 1447 warming points and 700 minimum,Hight Temperature (warm) 700
#a900b0 has 878 warming points and 700 minimum,Hight Temperature (warm) 700
#0080da has 0 warming points and 700 minimum,Low Temperature (cold) 700
#18fff3 has 32 warming points and 700 minimum,Low Temperature (cold) 700
#827400 has 715 warming points and 700 minimum,Hight Temperature (warm) 700
#2b277f has 223 warming points and 700 minimum,Low Temperature (cold) 700
#24358a has 50 warming points and 700 minimum,Low Temperature (cold) 700
#63ccff has 136 warming points and 700 minimum,Low Temperature (cold) 700
#db1300 has 1204 warming points and 700 minimum,Hight Temperature (warm) 700
#230024 has 182 warming points and 700 minimum,Low Temperature (cold) 700
#60caff has 134 warming points and 700 minimum,Low Temperature (cold) 700
#7984ff has 168 warming points and 700 minimum,Low Temperature (cold) 700
#ffe94f has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#204397 has 44 warming points and 700 minimum,Low Temperature (cold) 700
#1f479b has 42 warming points and 700 minimum,Low Temperature (cold) 700
